,Date,Open,High,Low,Close,Volume
652,2022-08-22,97.49,98.5,94.45,94.73,811424.0
653,2022-08-23,93.01,98.0,93.01,94.57,1247637.0
654,2022-08-24,95.45,96.0,93.66,94.01,1771932.0
655,2022-08-25,94.25,95.68,94.25,95.29,725249.0
656,2022-08-26,95.06,96.2,93.39,93.78,504502.0
657,2022-08-29,94.5,94.5,90.03,92.44,411039.0
658,2022-08-30,93.11,94.87,90.41,90.9,664612.0
659,2022-08-31,91.99,91.99,89.27,90.66,680614.0
660,2022-09-01,91.18,91.18,89.75,90.25,258339.0
661,2022-09-02,90.95,90.95,88.06,89.87,170854.0
662,2022-09-05,91.0,91.0,88.0,88.5,274439.0
663,2022-09-06,89.35,89.35,87.8,88.45,118957.0
664,2022-09-07,89.0,89.0,87.1,87.98,298849.0
665,2022-09-08,88.74,88.74,87.15,87.55,142679.0
666,2022-09-09,88.18,88.18,87.1,87.53,77062.0
667,2022-09-12,87.5,89.0,87.02,87.14,312556.0
668,2022-09-13,87.53,88.75,86.81,87.99,409207.0
669,2022-09-14,88.49,88.49,86.52,86.76,193026.0
670,2022-09-15,87.49,87.6,83.3,84.56,422866.0
671,2022-09-16,84.0,86.0,82.7,83.15,1606236.0
672,2022-09-19,83.4,84.78,81.5,81.89,715849.0
673,2022-09-20,82.4,83.3,81.51,82.04,619915.0
674,2022-09-21,82.04,83.0,81.38,81.91,257611.0
675,2022-09-22,82.7,82.7,80.11,81.81,604518.0
676,2022-09-23,82.7,82.7,80.5,80.94,4937798.0
677,2022-09-26,80.61,82.49,80.61,81.05,522497.0
678,2022-09-27,81.79,81.79,80.62,81.06,937046.0
679,2022-09-28,81.7,84.1,81.15,81.47,1037680.0
680,2022-09-29,80.01,80.01,75.36,75.36,1825607.0
681,2022-09-30,69.71,69.71,69.71,69.71,697317.0
682,2022-10-03,67.26,70.95,67.05,68.19,13165202.0
683,2022-10-04,68.5,70.6,68.39,69.37,3411030.0
684,2022-10-05,69.03,70.59,69.03,69.61,940289.0
685,2022-10-06,69.98,71.39,69.5,71.13,2492074.0
686,2022-10-07,71.0,72.0,70.1,71.58,2131520.0
687,2022-10-10,72.49,72.49,70.7,71.52,1457962.0
688,2022-10-11,71.75,72.9,71.4,71.52,1303660.0
689,2022-10-12,71.5,72.0,70.01,71.64,883409.0
690,2022-10-13,71.99,71.99,71.35,71.53,1179978.0
691,2022-10-14,72.0,72.5,70.61,71.55,2259053.0
692,2022-10-17,71.9,71.9,71.4,71.51,1290144.0
693,2022-10-18,71.94,71.94,71.3,71.55,1366844.0
694,2022-10-19,71.5,71.8,71.4,71.53,1289881.0
695,2022-10-20,71.74,71.74,71.37,71.49,3777764.0
696,2022-10-21,71.49,71.89,70.5,71.49,3101946.0
697,2022-10-24,71.85,71.85,70.8,71.5,1516345.0
698,2022-10-25,71.51,71.68,70.8,71.09,524964.0
699,2022-10-26,71.0,71.1,69.52,69.85,646270.0
700,2022-10-27,70.99,70.99,69.46,69.78,399202.0
